country_name,year,avg_value,prev_year,next_year,yoy_change,yoy_pct_change
Germany,2005,75.71,NULL,81.80,NULL,NULL
Germany,2006,81.80,75.71,84.12,6.09,8.04
Germany,2007,84.12,81.80,88.04,2.32,2.84
Germany,2008,88.04,84.12,78.11,3.92,4.66
Germany,2009,78.11,88.04,90.38,-9.93,-11.28
Germany,2010,90.38,78.11,90.51,12.27,15.71
Germany,2011,90.51,90.38,97.20,0.13,0.14
Germany,2012,97.20,90.51,103.13,6.69,7.39
Germany,2013,103.13,97.20,96.71,5.93,6.10
Germany,2014,96.71,103.13,99.96,-6.42,-6.23
Germany,2015,99.96,96.71,105.29,3.25,3.36
Germany,2016,105.29,99.96,111.29,5.33,5.33
Germany,2017,111.29,105.29,116.72,6.00,5.70
Germany,2018,116.72,111.29,114.10,5.43,4.88
Germany,2019,114.10,116.72,121.63,-2.62,-2.24
Germany,2020,121.63,114.10,125.71,7.53,6.60
Germany,2021,125.71,121.63,132.92,4.08,3.35
Germany,2022,132.92,125.71,148.87,7.21,5.74
Germany,2023,148.87,132.92,156.42,15.95,12.00
Germany,2024,156.42,148.87,159.30,7.55,5.07
Germany,2025,159.30,156.42,NULL,2.88,1.84
Greece,2005,79.39,NULL,81.10,NULL,NULL
Greece,2006,81.10,79.39,84.97,1.71,2.15
Greece,2007,84.97,81.10,90.33,3.87,4.77
Greece,2008,90.33,84.97,89.21,5.36,6.31
Greece,2009,89.21,90.33,88.84,-1.12,-1.24
Greece,2010,88.84,89.21,92.40,-0.37,-0.41
Greece,2011,92.40,88.84,92.63,3.56,4.01
Greece,2012,92.63,92.40,95.50,0.23,0.25
Greece,2013,95.50,92.63,92.64,2.87,3.10
Greece,2014,92.64,95.50,100.33,-2.86,-2.99
Greece,2015,100.33,92.64,97.69,7.69,8.30
Greece,2016,97.69,100.33,99.00,-2.64,-2.63
Greece,2017,99.00,97.69,100.36,1.31,1.34
Greece,2018,100.36,99.00,105.66,1.36,1.37
Greece,2019,105.66,100.36,108.33,5.30,5.28
Greece,2020,108.33,105.66,110.92,2.67,2.53
Greece,2021,110.92,108.33,123.71,2.59,2.39
Greece,2022,123.71,110.92,137.80,12.79,11.53
Greece,2023,137.80,123.71,143.97,14.09,11.39
Greece,2024,143.97,137.80,148.02,6.17,4.48
Greece,2025,148.02,143.97,NULL,4.05,2.81
Hungary,2005,50.49,NULL,58.76,NULL,NULL
Hungary,2006,58.76,50.49,70.46,8.27,16.38
Hungary,2007,70.46,58.76,72.12,11.70,19.91
Hungary,2008,72.12,70.46,69.88,1.66,2.36
Hungary,2009,69.88,72.12,79.08,-2.24,-3.11
Hungary,2010,79.08,69.88,84.07,9.20,13.17
Hungary,2011,84.07,79.08,88.67,4.99,6.31
Hungary,2012,88.67,84.07,94.37,4.60,5.47
Hungary,2013,94.37,88.67,92.34,5.70,6.43
Hungary,2014,92.34,94.37,100.68,-2.03,-2.15
